timestamp, package
 2017.09.05_18.25.52.167, com.lge.signboard
 2017.09.05_18.25.59.941, kaist.iclab.twiceburster
 2017.09.05_18.26.06.626, com.lge.launcher2
 2017.09.05_18.26.10.822, com.android.mms
 2017.09.05_18.28.13.154, com.lge.launcher2
 2017.09.05_18.28.16.857, com.facebook.katana
 2017.09.05_18.29.28.405, com.lge.launcher2
 2017.09.05_18.29.31.207, com.android.systemui
 2017.09.05_18.29.31.503, com.nhn.android.search
 2017.09.05_18.29.33.238, com.lge.signboard
 2017.09.05_18.29.57.728, com.nhn.android.search
 2017.09.05_18.30.03.715, com.lge.signboard
 2017.09.05_18.31.43.255, com.kakao.talk
 2017.09.05_18.32.04.920, com.nhn.android.search
 2017.09.05_18.32.18.641, com.lge.signboard
 2017.09.05_18.33.11.278, com.nhn.android.search
 2017.09.05_18.33.48.302, com.lge.signboard
 2017.09.05_18.35.48.933, com.nhn.android.search
 2017.09.05_18.35.51.844, com.kakao.talk
 2017.09.05_18.36.12.309, com.lge.signboard
 2017.09.05_18.36.19.671, com.kakao.talk
 2017.09.05_18.36.25.709, com.lge.signboard
 2017.09.05_18.40.34.061, com.kakao.talk
 2017.09.05_18.40.45.138, com.lge.signboard
 2017.09.05_18.41.21.382, com.lge.launcher2
 2017.09.05_18.41.21.803, com.android.mms
 2017.09.05_18.41.34.793, com.lge.signboard
 2017.09.05_18.42.00.299, com.lge.launcher2
 2017.09.05_18.42.01.654, com.facebook.katana
 2017.09.05_18.42.02.593, com.kakao.talk
 2017.09.05_18.42.29.858, com.lge.signboard
 2017.09.05_18.42.34.422, com.kakao.talk
 2017.09.05_18.43.19.647, com.lge.signboard
 2017.09.05_18.51.01.992, com.kakao.talk
 2017.09.05_18.51.24.257, com.lge.signboard
 2017.09.05_18.51.24.719, com.kakao.talk
 2017.09.05_18.52.42.926, com.lge.launcher2
 2017.09.05_18.52.43.917, com.skt.prod.tphonelite
 2017.09.05_18.52.48.442, com.kakao.talk
 2017.09.05_18.52.52.821, com.lge.launcher2
 2017.09.05_18.52.53.162, com.lge.signboard
 2017.09.05_18.52.53.622, com.skt.prod.tphonelite
 2017.09.05_18.53.09.537, com.lge.signboard
 2017.09.05_18.53.26.728, com.skt.prod.tphonelite
 2017.09.05_18.53.32.300, com.lge.signboard
 2017.09.05_18.53.37.043, com.kakao.talk
 2017.09.05_18.53.41.322, com.lge.signboard
 2017.09.05_18.53.47.111, com.kakao.talk
 2017.09.05_18.53.56.349, com.lge.signboard
 2017.09.05_18.54.09.971, com.kakao.talk
 2017.09.05_18.54.13.496, com.lge.launcher2
 2017.09.05_18.54.14.074, com.skt.prod.tphonelite
 2017.09.05_18.54.15.665, com.lge.launcher2
 2017.09.05_18.54.19.622, com.lge.signboard
 2017.09.05_18.54.25.997, com.kakao.talk
 2017.09.05_18.54.43.631, com.lge.signboard
 2017.09.05_18.54.54.400, com.kakao.talk
 2017.09.05_18.55.15.667, com.lge.signboard
 2017.09.05_18.55.25.715, com.lge.launcher2
 2017.09.05_18.55.26.452, com.skt.prod.tphonelite
 2017.09.05_18.55.31.701, com.lge.signboard
 2017.09.05_18.55.56.120, com.lge.launcher2
 2017.09.05_18.55.58.638, kr.ac.kaist.coursemos.android
 2017.09.05_18.56.36.475, com.lge.signboard
 2017.09.05_18.56.37.958, kr.ac.kaist.coursemos.android
 2017.09.05_18.56.49.084, com.lge.signboard
 2017.09.05_18.57.58.049, com.kakao.talk
 2017.09.05_18.58.37.609, com.lge.signboard
 2017.09.05_18.59.14.424, com.kakao.talk
 2017.09.05_18.59.14.929, com.lge.signboard
 2017.09.05_18.59.15.399, com.kakao.talk
 2017.09.05_18.59.19.029, com.lge.signboard
 2017.09.05_18.59.19.483, com.kakao.talk
 2017.09.05_18.59.27.359, com.lge.signboard
 2017.09.05_18.59.28.969, com.kakao.talk
 2017.09.05_18.59.36.042, com.lge.signboard
 2017.09.05_18.59.41.827, com.kakao.talk
 2017.09.05_18.59.43.123, com.lge.signboard
 2017.09.05_18.59.44.375, com.kakao.talk
 2017.09.05_18.59.56.984, kr.ac.kaist.coursemos.android
 2017.09.05_19.00.12.975, com.lge.signboard
 2017.09.05_19.00.13.579, kr.ac.kaist.coursemos.android
 2017.09.05_19.00.46.060, com.lge.signboard
 2017.09.05_19.00.50.351, com.lge.launcher2
 2017.09.05_19.00.50.783, com.android.mms
 2017.09.05_19.01.01.721, com.lge.launcher2
 2017.09.05_19.01.06.345, kaist.iclab.twiceburster
 2017.09.05_19.01.16.865, com.android.systemui
 2017.09.05_19.01.21.067, com.lge.launcher2
 2017.09.05_19.01.29.509, com.lge.signboard
 2017.09.05_19.01.30.510, com.instagram.android
 2017.09.05_19.02.23.220, com.lge.signboard
 2017.09.05_19.02.28.716, com.kakao.talk
 2017.09.05_19.02.45.596, com.instagram.android
 2017.09.05_19.02.53.620, com.lge.launcher2
 2017.09.05_19.02.56.571, com.instagram.android
 2017.09.05_19.02.58.089, com.lge.launcher2
 2017.09.05_19.02.58.472, com.android.systemui
 2017.09.05_19.03.06.278, com.lge.launcher2
 2017.09.05_19.03.08.127, com.nhn.android.search
 2017.09.05_19.03.10.247, com.lge.signboard
 2017.09.05_19.03.10.706, com.nhn.android.search
 2017.09.05_19.03.16.722, com.lge.signboard
 2017.09.05_19.03.19.228, com.nhn.android.search
 2017.09.05_19.03.21.718, com.lge.signboard
 2017.09.05_19.03.23.480, com.android.systemui
 2017.09.05_19.03.25.796, com.android.mms
 2017.09.05_19.04.03.047, com.lge.signboard
 2017.09.05_19.04.32.585, com.lge.launcher2
 2017.09.05_19.04.33.839, com.kakao.talk
 2017.09.05_19.04.35.166, com.lge.signboard
 2017.09.05_19.04.36.425, com.kakao.talk
 2017.09.05_19.04.41.977, com.lge.signboard
 2017.09.05_19.05.06.947, com.kakao.talk
 2017.09.05_19.05.25.550, com.lge.launcher2
 2017.09.05_19.05.26.628, com.facebook.katana
 2017.09.05_19.05.38.668, com.lge.signboard
 2017.09.05_19.07.43.290, com.kakao.talk
 2017.09.05_19.07.52.968, com.lge.launcher2
 2017.09.05_19.07.56.344, com.lge.signboard
 2017.09.05_19.07.58.073, com.android.calendar
 2017.09.05_19.08.01.083, com.lge.launcher2
 2017.09.05_19.08.02.588, com.facebook.katana
 2017.09.05_19.09.51.240, com.lge.signboard
 2017.09.05_19.10.07.339, com.facebook.katana
 2017.09.05_19.10.08.964, com.lge.signboard
 2017.09.05_19.10.11.948, com.kakao.talk
 2017.09.05_19.11.37.516, com.lge.launcher2
 2017.09.05_19.11.38.463, com.facebook.katana
 2017.09.05_19.12.10.995, com.lge.launcher2
 2017.09.05_19.12.12.251, com.kakao.talk
 2017.09.05_19.12.12.855, com.lge.signboard
 2017.09.05_19.12.13.845, com.kakao.talk
 2017.09.05_19.12.20.089, com.lge.signboard
 2017.09.05_19.12.27.189, com.kakao.talk
 2017.09.05_19.12.45.405, com.lge.signboard
 2017.09.05_19.16.49.561, com.lge.launcher2
 2017.09.05_19.16.50.633, com.facebook.katana
 2017.09.05_19.21.40.212, com.lge.signboard
 2017.09.05_19.23.18.943, com.kakao.talk
 2017.09.05_19.23.19.746, com.lge.signboard
 2017.09.05_19.23.20.105, com.kakao.talk
 2017.09.05_19.23.30.391, com.lge.signboard
 2017.09.05_19.23.31.133, com.kakao.talk
 2017.09.05_19.23.38.251, com.facebook.katana
 2017.09.05_19.24.31.733, com.lge.signboard
 2017.09.05_19.24.48.971, com.lge.launcher2
 2017.09.05_19.24.51.195, com.instagram.android
